infinitive,mood,tense,form_1s,form_2s,form_3s,form_1p,form_2p,form_3p,gerund,pastparticiple
jactarse,Indicativo,Pretérito,me jacté,te jactaste,se jactó,nos jactamos,os jactasteis,se jactaron,jactándose,jactado
jactarse,Indicativo,Condicional,me jactaría,te jactarías,se jactaría,nos jactaríamos,os jactaríais,se jactarían,jactándose,jactado
jactarse,Indicativo,Presente perfecto,me he jactado,te has jactado,se ha jactado,nos hemos jactado,os habéis jactado,se han jactado,jactándose,jactado
jactarse,Indicativo,Futuro perfecto,me habré jactado,te habrás jactado,se habrá jactado,nos habremos jactado,os habréis jactado,se habrán jactado,jactándose,jactado
jactarse,Indicativo,Pluscuamperfecto,me había jactado,te habías jactado,se había jactado,nos habíamos jactado,os habíais jactado,se habían jactado,jactándose,jactado
jactarse,Indicativo,Pretérito anterior,me hube jactado,te hubiste jactado,se hubo jactado,nos hubimos jactado,os hubisteis jactado,se hubieron jactado,jactándose,jactado
jactarse,Indicativo,Condicional perfecto,me habría jactado,te habrías jactado,se habría jactado,nos habríamos jactado,os habríais jactado,se habrían jactado,jactándose,jactado
jactarse,Subjuntivo,Presente,me jacte,te jactes,se jacte,nos jactemos,os jactéis,se jacten,jactándose,jactado
jactarse,Subjuntivo,Imperfecto,me jactara,te jactaras,se jactara,nos jactáramos,os jactarais,se jactaran,jactándose,jactado
jactarse,Subjuntivo,Futuro,me jactare,te jactares,se jactare,nos jactáremos,os jactareis,se jactaren,jactándose,jactado
jactarse,Subjuntivo,Presente perfecto,me haya jactado,te hayas jactado,se haya jactado,nos hayamos jactado,os hayáis jactado,se hayan jactado,jactándose,jactado
jactarse,Subjuntivo,Futuro perfecto,me hubiere jactado,te hubieres jactado,se hubiere jactado,nos hubiéremos jactado,os hubiereis jactado,se hubieren jactado,jactándose,jactado
jactarse,Subjuntivo,Pluscuamperfecto,me hubiera jactado,te hubieras jactado,se hubiera jactado,nos hubiéramos jactado,os hubierais jactado,se hubieran jactado,jactándose,jactado
jactarse,Imperativo Afirmativo,Presente,,jáctate,jactaos,,jáctese,jáctense,jactándose,jactado
jactarse,Imperativo Negativo,Presente,,no te jactes,no os jactéis,,no se jacte,no se jacten,jactándose,jactado
jugar,Indicativo,Presente,juego,juegas,juega,jugamos,jugáis,juegan,jugando,jugado
jugar,Indicativo,Futuro,jugaré,jugarás,jugará,jugaremos,jugaréis,jugarán,jugando,jugado
jugar,Indicativo,Imperfecto,jugaba,jugabas,jugaba,jugábamos,jugabais,jugaban,jugando,jugado
jugar,Indicativo,Pretérito,jugué,jugaste,jugó,jugamos,jugasteis,jugaron,jugando,jugado
jugar,Indicativo,Condicional,jugaría,jugarías,jugaría,jugaríamos,jugaríais,jugarían,jugando,jugado
jugar,Indicativo,Presente perfecto,he jugado,has jugado,ha jugado,hemos jugado,habéis jugado,han jugado,jugando,jugado
jugar,Indicativo,Futuro perfecto,habré jugado,habrás jugado,habrá jugado,habremos jugado,habréis jugado,habrán jugado,jugando,jugado
jugar,Indicativo,Pluscuamperfecto,había jugado,habías jugado,había jugado,habíamos jugado,habíais jugado,habían jugado,jugando,jugado
jugar,Indicativo,Pretérito anterior,hube jugado,hubiste jugado,hubo jugado,hubimos jugado,hubisteis jugado,hubieron jugado,jugando,jugado
jugar,Indicativo,Condicional perfecto,habría jugado,habrías jugado,habría jugado,habríamos jugado,habríais jugado,habrían jugado,jugando,jugado
jugar,Subjuntivo,Presente,juegue,juegues,juegue,juguemos,juguéis,jueguen,jugando,jugado
jugar,Subjuntivo,Imperfecto,jugara,jugaras,jugara,jugáramos,jugarais,jugaran,jugando,jugado
jugar,Subjuntivo,Futuro,jugare,jugares,jugare,jugáremos,jugareis,jugaren,jugando,jugado
jugar,Subjuntivo,Presente perfecto,haya jugado,hayas jugado,haya jugado,hayamos jugado,hayáis jugado,hayan jugado,jugando,jugado
jugar,Subjuntivo,Futuro perfecto,hubiere jugado,hubieres jugado,hubiere jugado,hubiéremos jugado,hubiereis jugado,hubieren jugado,jugando,jugado
jugar,Subjuntivo,Pluscuamperfecto,hubiera jugado,hubieras jugado,hubiera jugado,hubiéramos jugado,hubierais jugado,hubieran jugado,jugando,jugado
jugar,Imperativo Afirmativo,Presente,,juega,jugad,,juegue,jueguen,jugando,jugado
jugar,Imperativo Negativo,Presente,,no juegues,no juguéis,,no juegue,no jueguen,jugando,jugado
juntar,Indicativo,Presente,junto,juntas,junta,juntamos,juntáis,juntan,juntando,juntado
juntar,Indicativo,Futuro,juntaré,juntarás,juntará,juntaremos,juntaréis,juntarán,juntando,juntado
juntar,Indicativo,Imperfecto,juntaba,juntabas,juntaba,juntábamos,juntabais,juntaban,juntando,juntado
juntar,Indicativo,Pretérito,junté,juntaste,juntó,juntamos,juntasteis,juntaron,juntando,juntado
juntar,Indicativo,Condicional,juntaría,juntarías,juntaría,juntaríamos,juntaríais,juntarían,juntando,juntado
juntar,Indicativo,Presente perfecto,he juntado,has juntado,ha juntado,hemos juntado,habéis juntado,han juntado,juntando,juntado
juntar,Indicativo,Futuro perfecto,habré juntado,habrás juntado,habrá juntado,habremos juntado,habréis juntado,habrán juntado,juntando,juntado
juntar,Indicativo,Pluscuamperfecto,había juntado,habías juntado,había juntado,habíamos juntado,habíais juntado,habían juntado,juntando,juntado
juntar,Indicativo,Pretérito anterior,hube juntado,hubiste juntado,hubo juntado,hubimos juntado,hubisteis juntado,hubieron juntado,juntando,juntado
juntar,Indicativo,Condicional perfecto,habría juntado,habrías juntado,habría juntado,habríamos juntado,habríais juntado,habrían juntado,juntando,juntado
juntar,Subjuntivo,Presente,junte,juntes,junte,juntemos,juntéis,junten,juntando,juntado
juntar,Subjuntivo,Imperfecto,juntara,juntaras,juntara,juntáramos,juntarais,juntaran,juntando,juntado
juntar,Subjuntivo,Futuro,juntare,juntares,juntare,juntáremos,juntareis,juntaren,juntando,juntado
juntar,Subjuntivo,Presente perfecto,haya juntado,hayas juntado,haya juntado,hayamos juntado,hayáis juntado,hayan juntado,juntando,juntado
juntar,Subjuntivo,Futuro perfecto,hubiere juntado,hubieres juntado,hubiere juntado,hubiéremos juntado,hubiereis juntado,hubieren juntado,juntando,juntado
juntar,Subjuntivo,Pluscuamperfecto,hubiera juntado,hubieras juntado,hubiera juntado,hubiéramos juntado,hubierais juntado,hubieran juntado,juntando,juntado
juntar,Imperativo Afirmativo,Presente,,junta,juntad,,junte,junten,juntando,juntado
juntar,Imperativo Negativo,Presente,,no juntes,no juntéis,,no junte,no junten,juntando,juntado
juntarse,Indicativo,Presente,me junto,te juntas,se junta,nos juntamos,os juntáis,se juntan,juntándose,juntado
juntarse,Indicativo,Futuro,me juntaré,te juntarás,se juntará,nos juntaremos,os juntaréis,se juntarán,juntándose,juntado
juntarse,Indicativo,Imperfecto,me juntaba,te juntabas,se juntaba,nos juntábamos,os juntabais,se juntaban,juntándose,juntado
juntarse,Indicativo,Pretérito,me junté,te juntaste,se juntó,nos juntamos,os juntasteis,se juntaron,juntándose,juntado
juntarse,Indicativo,Condicional,me juntaría,te juntarías,se juntaría,nos juntaríamos,os juntaríais,se juntarían,juntándose,juntado
juntarse,Indicativo,Presente perfecto,me he juntado,te has juntado,se ha juntado,nos hemos juntado,os habéis juntado,se han juntado,juntándose,juntado
juntarse,Indicativo,Futuro perfecto,me habré juntado,te habrás juntado,se habrá juntado,nos habremos juntado,os habréis juntado,se habrán juntado,juntándose,juntado
juntarse,Indicativo,Pluscuamperfecto,me había juntado,te habías juntado,se había juntado,nos habíamos juntado,os habíais juntado,se habían juntado,juntándose,juntado
juntarse,Indicativo,Pretérito anterior,me hube juntado,te hubiste juntado,se hubo juntado,nos hubimos juntado,os hubisteis juntado,se hubieron juntado,juntándose,juntado
juntarse,Indicativo,Condicional perfecto,me habría juntado,te habrías juntado,se habría juntado,nos habríamos juntado,os habríais juntado,se habrían juntado,juntándose,juntado
juntarse,Subjuntivo,Presente,me junte,te juntes,se junte,nos juntemos,os juntéis,se junten,juntándose,juntado
juntarse,Subjuntivo,Imperfecto,me juntara,te juntaras,se juntara,nos juntáramos,os juntarais,se juntaran,juntándose,juntado
juntarse,Subjuntivo,Futuro,me juntare,te juntares,se juntare,nos juntáremos,os juntareis,se juntaren,juntándose,juntado
juntarse,Subjuntivo,Presente perfecto,me haya juntado,te hayas juntado,se haya juntado,nos hayamos juntado,os hayáis juntado,se hayan juntado,juntándose,juntado
juntarse,Subjuntivo,Futuro perfecto,me hubiere juntado,te hubieres juntado,se hubiere juntado,nos hubiéremos juntado,os hubiereis juntado,se hubieren juntado,juntándose,juntado
juntarse,Subjuntivo,Pluscuamperfecto,me hubiera juntado,te hubieras juntado,se hubiera juntado,nos hubiéramos juntado,os hubierais juntado,se hubieran juntado,juntándose,juntado
juntarse,Imperativo Afirmativo,Presente,,júntate,juntaos,,júntese,júntense,juntándose,juntado
juntarse,Imperativo Negativo,Presente,,no te juntes,no os juntéis,,no se junte,no se junten,juntándose,juntado
jurar,Indicativo,Presente,juro,juras,jura,juramos,juráis,juran,jurando,jurado
jurar,Indicativo,Futuro,juraré,jurarás,jurará,juraremos,juraréis,jurarán,jurando,jurado
jurar,Indicativo,Imperfecto,juraba,jurabas,juraba,jurábamos,jurabais,juraban,jurando,jurado
jurar,Indicativo,Pretérito,juré,juraste,juró,juramos,jurasteis,juraron,jurando,jurado
jurar,Indicativo,Condicional,juraría,jurarías,juraría,juraríamos,juraríais,jurarían,jurando,jurado
jurar,Indicativo,Presente perfecto,he jurado,has jurado,ha jurado,hemos jurado,habéis jurado,han jurado,jurando,jurado
jurar,Indicativo,Futuro perfecto,habré jurado,habrás jurado,habrá jurado,habremos jurado,habréis jurado,habrán jurado,jurando,jurado
jurar,Indicativo,Pluscuamperfecto,había jurado,habías jurado,había jurado,habíamos jurado,habíais jurado,habían jurado,jurando,jurado
jurar,Indicativo,Pretérito anterior,hube jurado,hubiste jurado,hubo jurado,hubimos jurado,hubisteis jurado,hubieron jurado,jurando,jurado
jurar,Indicativo,Condicional perfecto,habría jurado,habrías jurado,habría jurado,habríamos jurado,habríais jurado,habrían jurado,jurando,jurado
jurar,Subjuntivo,Presente,jure,jures,jure,juremos,juréis,juren,jurando,jurado
jurar,Subjuntivo,Imperfecto,jurara,juraras,jurara,juráramos,jurarais,juraran,jurando,jurado
jurar,Subjuntivo,Futuro,jurare,jurares,jurare,juráremos,jurareis,juraren,jurando,jurado
jurar,Subjuntivo,Presente perfecto,haya jurado,hayas jurado,haya jurado,hayamos jurado,hayáis jurado,hayan jurado,jurando,jurado
jurar,Subjuntivo,Futuro perfecto,hubiere jurado,hubieres jurado,hubiere jurado,hubiéremos jurado,hubiereis jurado,hubieren jurado,jurando,jurado
jurar,Subjuntivo,Pluscuamperfecto,hubiera jurado,hubieras jurado,hubiera jurado,hubiéramos jurado,hubierais jurado,hubieran jurado,jurando,jurado
jurar,Imperativo Afirmativo,Presente,,jura,jurad,,jure,juren,jurando,jurado
jurar,Imperativo Negativo,Presente,,no jures,no juréis,,no jure,no juren,jurando,jurado
ladrar,Indicativo,Presente,ladro,ladras,ladra,ladramos,ladráis,ladran,ladrando,ladrado
ladrar,Indicativo,Futuro,ladraré,ladrarás,ladrará,ladraremos,ladraréis,ladrarán,ladrando,ladrado
ladrar,Indicativo,Imperfecto,ladraba,ladrabas,ladraba,ladrábamos,ladrabais,ladraban,ladrando,ladrado
ladrar,Indicativo,Pretérito,ladré,ladraste,ladró,ladramos,ladrasteis,ladraron,ladrando,ladrado
ladrar,Indicativo,Condicional,ladraría,ladrarías,ladraría,ladraríamos,ladraríais,ladrarían,ladrando,ladrado
ladrar,Indicativo,Presente perfecto,he ladrado,has ladrado,ha ladrado,hemos ladrado,habéis ladrado,han ladrado,ladrando,ladrado
ladrar,Indicativo,Futuro perfecto,habré ladrado,habrás ladrado,habrá ladrado,habremos ladrado,habréis ladrado,habrán ladrado,ladrando,ladrado
ladrar,Indicativo,Pluscuamperfecto,había ladrado,habías ladrado,había ladrado,habíamos ladrado,habíais ladrado,habían ladrado,ladrando,ladrado
ladrar,Indicativo,Pretérito anterior,hube ladrado,hubiste ladrado,hubo ladrado,hubimos ladrado,hubisteis ladrado,hubieron ladrado,ladrando,ladrado
ladrar,Indicativo,Condicional perfecto,habría ladrado,habrías ladrado,habría ladrado,habríamos ladrado,habríais ladrado,habrían ladrado,ladrando,ladrado
ladrar,Subjuntivo,Presente,ladre,ladres,ladre,ladremos,ladréis,ladren,ladrando,ladrado
ladrar,Subjuntivo,Imperfecto,ladrara,ladraras,ladrara,ladráramos,ladrarais,ladraran,ladrando,ladrado
ladrar,Subjuntivo,Futuro,ladrare,ladrares,ladrare,ladráremos,ladrareis,ladraren,ladrando,ladrado
ladrar,Subjuntivo,Presente perfecto,haya ladrado,hayas ladrado,haya ladrado,hayamos ladrado,hayáis ladrado,hayan ladrado,ladrando,ladrado
ladrar,Subjuntivo,Futuro perfecto,hubiere ladrado,hubieres ladrado,hubiere ladrado,hubiéremos ladrado,hubiereis ladrado,hubieren ladrado,ladrando,ladrado
ladrar,Subjuntivo,Pluscuamperfecto,hubiera ladrado,hubieras ladrado,hubiera ladrado,hubiéramos ladrado,hubierais ladrado,hubieran ladrado,ladrando,ladrado
ladrar,Imperativo Afirmativo,Presente,,ladra,ladrad,,ladre,ladren,ladrando,ladrado
ladrar,Imperativo Negativo,Presente,,no ladres,no ladréis,,no ladre,no ladren,ladrando,ladrado
lamentar,Indicativo,Presente,lamento,lamentas,lamenta,lamentamos,lamentáis,lamentan,lamentando,lamentado
lamentar,Indicativo,Futuro,lamentaré,lamentarás,lamentará,lamentaremos,lamentaréis,lamentarán,lamentando,lamentado
lamentar,Indicativo,Imperfecto,lamentaba,lamentabas,lamentaba,lamentábamos,lamentabais,lamentaban,lamentando,lamentado
lamentar,Indicativo,Pretérito,lamenté,lamentaste,lamentó,lamentamos,lamentasteis,lamentaron,lamentando,lamentado
lamentar,Indicativo,Condicional,lamentaría,lamentarías,lamentaría,lamentaríamos,lamentaríais,lamentarían,lamentando,lamentado
lamentar,Indicativo,Presente perfecto,he lamentado,has lamentado,ha lamentado,hemos lamentado,habéis lamentado,han lamentado,lamentando,lamentado
lamentar,Indicativo,Futuro perfecto,habré lamentado,habrás lamentado,habrá lamentado,habremos lamentado,habréis lamentado,habrán lamentado,lamentando,lamentado
lavar,Indicativo,Condicional,lavaría,lavarías,lavaría,lavaríamos,lavaríais,lavarían,lavando,lavado
lamentar,Indicativo,Pluscuamperfecto,había lamentado,habías lamentado,había lamentado,habíamos lamentado,habíais lamentado,habían lamentado,lamentando,lamentado
lamentar,Indicativo,Pretérito anterior,hube lamentado,hubiste lamentado,hubo lamentado,hubimos lamentado,hubisteis lamentado,hubieron lamentado,lamentando,lamentado
lamentar,Indicativo,Condicional perfecto,habría lamentado,habrías lamentado,habría lamentado,habríamos lamentado,habríais lamentado,habrían lamentado,lamentando,lamentado
lamentar,Subjuntivo,Presente,lamente,lamentes,lamente,lamentemos,lamentéis,lamenten,lamentando,lamentado
lamentar,Subjuntivo,Imperfecto,lamentara,lamentaras,lamentara,lamentáramos,lamentarais,lamentaran,lamentando,lamentado
lamentar,Subjuntivo,Futuro,lamentare,lamentares,lamentare,lamentáremos,lamentareis,lamentaren,lamentando,lamentado
lamentar,Subjuntivo,Presente perfecto,haya lamentado,hayas lamentado,haya lamentado,hayamos lamentado,hayáis lamentado,hayan lamentado,lamentando,lamentado
lamentar,Subjuntivo,Futuro perfecto,hubiere lamentado,hubieres lamentado,hubiere lamentado,hubiéremos lamentado,hubiereis lamentado,hubieren lamentado,lamentando,lamentado
lamentar,Subjuntivo,Pluscuamperfecto,hubiera lamentado,hubieras lamentado,hubiera lamentado,hubiéramos lamentado,hubierais lamentado,hubieran lamentado,lamentando,lamentado
lamentar,Imperativo Afirmativo,Presente,,lamenta,lamentad,,lamente,lamenten,lamentando,lamentado
lamentar,Imperativo Negativo,Presente,,no lamentes,no lamentéis,,no lamente,no lamenten,lamentando,lamentado
lanzar,Indicativo,Presente,lanzo,lanzas,lanza,lanzamos,lanzáis,lanzan,lanzando,lanzado
lanzar,Indicativo,Futuro,lanzaré,lanzarás,lanzará,lanzaremos,lanzaréis,lanzarán,lanzando,lanzado
lanzar,Indicativo,Imperfecto,lanzaba,lanzabas,lanzaba,lanzábamos,lanzabais,lanzaban,lanzando,lanzado
lanzar,Indicativo,Pretérito,lancé,lanzaste,lanzó,lanzamos,lanzasteis,lanzaron,lanzando,lanzado
lanzar,Indicativo,Condicional,lanzaría,lanzarías,lanzaría,lanzaríamos,lanzaríais,lanzarían,lanzando,lanzado
lanzar,Indicativo,Presente perfecto,he lanzado,has lanzado,ha lanzado,hemos lanzado,habéis lanzado,han lanzado,lanzando,lanzado
lanzar,Indicativo,Futuro perfecto,habré lanzado,habrás lanzado,habrá lanzado,habremos lanzado,habréis lanzado,habrán lanzado,lanzando,lanzado
lanzar,Indicativo,Pluscuamperfecto,había lanzado,habías lanzado,había lanzado,habíamos lanzado,habíais lanzado,habían lanzado,lanzando,lanzado
lanzar,Indicativo,Pretérito anterior,hube lanzado,hubiste lanzado,hubo lanzado,hubimos lanzado,hubisteis lanzado,hubieron lanzado,lanzando,lanzado
lanzar,Indicativo,Condicional perfecto,habría lanzado,habrías lanzado,habría lanzado,habríamos lanzado,habríais lanzado,habrían lanzado,lanzando,lanzado
lanzar,Subjuntivo,Presente,lance,lances,lance,lancemos,lancéis,lancen,lanzando,lanzado
lanzar,Subjuntivo,Imperfecto,lanzara,lanzaras,lanzara,lanzáramos,lanzarais,lanzaran,lanzando,lanzado
lanzar,Subjuntivo,Futuro,lanzare,lanzares,lanzare,lanzáremos,lanzareis,lanzaren,lanzando,lanzado
lanzar,Subjuntivo,Presente perfecto,haya lanzado,hayas lanzado,haya lanzado,hayamos lanzado,hayáis lanzado,hayan lanzado,lanzando,lanzado
lanzar,Subjuntivo,Futuro perfecto,hubiere lanzado,hubieres lanzado,hubiere lanzado,hubiéremos lanzado,hubiereis lanzado,hubieren lanzado,lanzando,lanzado
lanzar,Subjuntivo,Pluscuamperfecto,hubiera lanzado,hubieras lanzado,hubiera lanzado,hubiéramos lanzado,hubierais lanzado,hubieran lanzado,lanzando,lanzado
lanzar,Imperativo Afirmativo,Presente,,lanza,lanzad,,lance,lancen,lanzando,lanzado
lanzar,Imperativo Negativo,Presente,,no lances,no lancéis,,no lance,no lancen,lanzando,lanzado
lastimar,Indicativo,Presente,lastimo,lastimas,lastima,lastimamos,lastimáis,lastiman,lastimando,lastimado
lastimar,Indicativo,Futuro,lastimaré,lastimarás,lastimará,lastimaremos,lastimaréis,lastimarán,lastimando,lastimado
lastimar,Indicativo,Imperfecto,lastimaba,lastimabas,lastimaba,lastimábamos,lastimabais,lastimaban,lastimando,lastimado
lastimar,Indicativo,Pretérito,lastimé,lastimaste,lastimó,lastimamos,lastimasteis,lastimaron,lastimando,lastimado
lastimar,Indicativo,Condicional,lastimaría,lastimarías,lastimaría,lastimaríamos,lastimaríais,lastimarían,lastimando,lastimado
lastimar,Indicativo,Presente perfecto,he lastimado,has lastimado,ha lastimado,hemos lastimado,habéis lastimado,han lastimado,lastimando,lastimado
lastimar,Indicativo,Futuro perfecto,habré lastimado,habrás lastimado,habrá lastimado,habremos lastimado,habréis lastimado,habrán lastimado,lastimando,lastimado
lastimar,Indicativo,Pluscuamperfecto,había lastimado,habías lastimado,había lastimado,habíamos lastimado,habíais lastimado,habían lastimado,lastimando,lastimado
lastimar,Indicativo,Pretérito anterior,hube lastimado,hubiste lastimado,hubo lastimado,hubimos lastimado,hubisteis lastimado,hubieron lastimado,lastimando,lastimado
lastimar,Indicativo,Condicional perfecto,habría lastimado,habrías lastimado,habría lastimado,habríamos lastimado,habríais lastimado,habrían lastimado,lastimando,lastimado
lastimar,Subjuntivo,Presente,lastime,lastimes,lastime,lastimemos,lastiméis,lastimen,lastimando,lastimado
lastimar,Subjuntivo,Imperfecto,lastimara,lastimaras,lastimara,lastimáramos,lastimarais,lastimaran,lastimando,lastimado
lastimar,Subjuntivo,Futuro,lastimare,lastimares,lastimare,lastimáremos,lastimareis,lastimaren,lastimando,lastimado
lastimar,Subjuntivo,Presente perfecto,haya lastimado,hayas lastimado,haya lastimado,hayamos lastimado,hayáis lastimado,hayan lastimado,lastimando,lastimado
lastimar,Subjuntivo,Futuro perfecto,hubiere lastimado,hubieres lastimado,hubiere lastimado,hubiéremos lastimado,hubiereis lastimado,hubieren lastimado,lastimando,lastimado
lastimar,Subjuntivo,Pluscuamperfecto,hubiera lastimado,hubieras lastimado,hubiera lastimado,hubiéramos lastimado,hubierais lastimado,hubieran lastimado,lastimando,lastimado
lastimar,Imperativo Afirmativo,Presente,,lastima,lastimad,,lastime,lastimen,lastimando,lastimado
lastimar,Imperativo Negativo,Presente,,no lastimes,no lastiméis,,no lastime,no lastimen,lastimando,lastimado
lavar,Indicativo,Presente,lavo,lavas,lava,lavamos,laváis,lavan,lavando,lavado
lavar,Indicativo,Futuro,lavaré,lavarás,lavará,lavaremos,lavaréis,lavarán,lavando,lavado
lavar,Indicativo,Imperfecto,lavaba,lavabas,lavaba,lavábamos,lavabais,lavaban,lavando,lavado
lavar,Indicativo,Pretérito,lavé,lavaste,lavó,lavamos,lavasteis,lavaron,lavando,lavado
lavar,Indicativo,Presente perfecto,he lavado,has lavado,ha lavado,hemos lavado,habéis lavado,han lavado,lavando,lavado
lavar,Indicativo,Futuro perfecto,habré lavado,habrás lavado,habrá lavado,habremos lavado,habréis lavado,habrán lavado,lavando,lavado
lavar,Indicativo,Pluscuamperfecto,había lavado,habías lavado,había lavado,habíamos lavado,habíais lavado,habían lavado,lavando,lavado
lavar,Indicativo,Pretérito anterior,hube lavado,hubiste lavado,hubo lavado,hubimos lavado,hubisteis lavado,hubieron lavado,lavando,lavado
lavar,Indicativo,Condicional perfecto,habría lavado,habrías lavado,habría lavado,habríamos lavado,habríais lavado,habrían lavado,lavando,lavado
lavar,Subjuntivo,Presente,lave,laves,lave,lavemos,lavéis,laven,lavando,lavado
lavar,Subjuntivo,Imperfecto,lavara,lavaras,lavara,laváramos,lavarais,lavaran,lavando,lavado
lavar,Subjuntivo,Futuro,lavare,lavares,lavare,laváremos,lavareis,lavaren,lavando,lavado
lavar,Subjuntivo,Presente perfecto,haya lavado,hayas lavado,haya lavado,hayamos lavado,hayáis lavado,hayan lavado,lavando,lavado
lavar,Subjuntivo,Futuro perfecto,hubiere lavado,hubieres lavado,hubiere lavado,hubiéremos lavado,hubiereis lavado,hubieren lavado,lavando,lavado
lavar,Subjuntivo,Pluscuamperfecto,hubiera lavado,hubieras lavado,hubiera lavado,hubiéramos lavado,hubierais lavado,hubieran lavado,lavando,lavado
lavar,Imperativo Afirmativo,Presente,,lava,lavad,,lave,laven,lavando,lavado
lavar,Imperativo Negativo,Presente,,no laves,no lavéis,,no lave,no laven,lavando,lavado
lavarse,Indicativo,Presente,me lavo,te lavas,se lava,nos lavamos,os laváis,se lavan,lavándose,lavado
lavarse,Indicativo,Futuro,me lavaré,te lavarás,se lavará,nos lavaremos,os lavaréis,se lavarán,lavándose,lavado
lavarse,Indicativo,Imperfecto,me lavaba,te lavabas,se lavaba,nos lavábamos,os lavabais,se lavaban,lavándose,lavado
lavarse,Indicativo,Pretérito,me lavé,te lavaste,se lavó,nos lavamos,lavasteis,se lavaron,lavándose,lavado
lavarse,Indicativo,Condicional,me lavaría,te lavarías,se lavaría,nos lavaríamos,os lavaríais,se lavarían,lavándose,lavado
lavarse,Indicativo,Presente perfecto,me he lavado,te has lavado,se ha lavado,nos hemos lavado,os habéis lavado,se han lavado,lavándose,lavado
lavarse,Indicativo,Futuro perfecto,me habré lavado,te habrás lavado,se habrá lavado,nos habremos lavado,os habréis lavado,se habrán lavado,lavándose,lavado
lavarse,Indicativo,Pluscuamperfecto,me había lavado,te habías lavado,se había lavado,nos habíamos lavado,os habíais lavado,se habían lavado,lavándose,lavado
lavarse,Indicativo,Pretérito anterior,me hube lavado,te hubiste lavado,se hubo lavado,nos hubimos lavado,os hubisteis lavado,se hubieron lavado,lavándose,lavado
lavarse,Indicativo,Condicional perfecto,me habría lavado,te habrías lavado,se habría lavado,nos habríamos lavado,os habríais lavado,se habrían lavado,lavándose,lavado
lavarse,Subjuntivo,Presente,me lave,te laves,se lave,nos lavemos,os lavéis,se laven,lavándose,lavado
lavarse,Subjuntivo,Imperfecto,me lavara,te lavaras,se lavara,nos laváramos,os lavarais,se lavaran,lavándose,lavado
lavarse,Subjuntivo,Futuro,me lavare,te lavares,se lavare,nos laváremos,os lavareis,se lavaren,lavándose,lavado
lavarse,Subjuntivo,Presente perfecto,me haya lavado,te hayas lavado,se haya lavado,nos hayamos lavado,os hayáis lavado,se hayan lavado,lavándose,lavado
lavarse,Subjuntivo,Futuro perfecto,me hubiere lavado,te hubieres lavado,se hubiere lavado,nos hubiéremos lavado,os hubiereis lavado,se hubieren lavado,lavándose,lavado
lavarse,Subjuntivo,Pluscuamperfecto,me hubiera lavado,te hubieras lavado,se hubiera lavado,nos hubiéramos lavado,os hubierais lavado,se hubieran lavado,lavándose,lavado
lavarse,Imperativo Afirmativo,Presente,,lávate,lavaos,,lávese,lávense,lavándose,lavado
lavarse,Imperativo Negativo,Presente,,no te laves,no os lavéis,,no se lave,no se laven,lavándose,lavado
leer,Indicativo,Presente,leo,lees,lee,leemos,leéis,leen,leyendo,leído
leer,Indicativo,Futuro,leeré,leerás,leerá,leeremos,leeréis,leerán,leyendo,leído
leer,Indicativo,Imperfecto,leía,leías,leía,leíamos,leíais,leían,leyendo,leído
leer,Indicativo,Pretérito,leí,leíste,leyó,leímos,leísteis,leyeron,leyendo,leído
leer,Indicativo,Condicional,leería,leerías,leería,leeríamos,leeríais,leerían,leyendo,leído
leer,Indicativo,Presente perfecto,he leído,has leído,ha leído,hemos leído,habéis leído,han leído,leyendo,leído
leer,Indicativo,Futuro perfecto,habré leído,habrás leído,habrá leído,habremos leído,habréis leído,habrán leído,leyendo,leído
leer,Indicativo,Pluscuamperfecto,había leído,habías leído,había leído,habíamos leído,habíais leído,habían leído,leyendo,leído
leer,Indicativo,Pretérito anterior,hube leído,hubiste leído,hubo leído,hubimos leído,hubisteis leído,hubieron leído,leyendo,leído
leer,Indicativo,Condicional perfecto,habría leído,habrías leído,habría leído,habríamos leído,habríais leído,habrían leído,leyendo,leído
leer,Subjuntivo,Presente,lea,leas,lea,leamos,leáis,lean,leyendo,leído
leer,Subjuntivo,Imperfecto,leyera,leyeras,leyera,leyéramos,leyerais,leyeran,leyendo,leído
leer,Subjuntivo,Futuro,leyere,leyeres,leyere,leyéremos,leyereis,leyeren,leyendo,leído
leer,Subjuntivo,Presente perfecto,haya leído,hayas leído,haya leído,hayamos leído,hayáis leído,hayan leído,leyendo,leído
leer,Subjuntivo,Futuro perfecto,hubiere leído,hubieres leído,hubiere leído,hubiéremos leído,hubiereis leído,hubieren leído,leyendo,leído
leer,Subjuntivo,Pluscuamperfecto,hubiera leído,hubieras leído,hubiera leído,hubiéramos leído,hubierais leído,hubieran leído,leyendo,leído
leer,Imperativo Afirmativo,Presente,,lee,leed,,lea,lean,leyendo,leído
leer,Imperativo Negativo,Presente,,no leas,no leáis,,no lea,no lean,leyendo,leído
legalizar,Indicativo,Presente,legalizo,legalizas,legaliza,legalizamos,legalizáis,legalizan,legalizando,legalizado
legalizar,Indicativo,Futuro,legalizaré,legalizarás,legalizará,legalizaremos,legalizaréis,legalizarán,legalizando,legalizado
legalizar,Indicativo,Imperfecto,legalizaba,legalizabas,legalizaba,legalizábamos,legalizabais,legalizaban,legalizando,legalizado
legalizar,Indicativo,Pretérito,legalicé,legalizaste,legalizó,legalizamos,legalizasteis,legalizaron,legalizando,legalizado
