infinitive,mood,tense,form_1s,form_2s,form_3s,form_1p,form_2p,form_3p,gerund,pastparticiple
criticar,Subjuntivo,Imperfecto,criticara,criticaras,criticara,criticáramos,criticarais,criticaran,criticando,criticado
criticar,Subjuntivo,Futuro,criticare,criticares,criticare,criticáremos,criticareis,criticaren,criticando,criticado
criticar,Subjuntivo,Presente perfecto,haya criticado,hayas criticado,haya criticado,hayamos criticado,hayáis criticado,hayan criticado,criticando,criticado
criticar,Subjuntivo,Futuro perfecto,hubiere criticado,hubieres criticado,hubiere criticado,hubiéremos criticado,hubiereis criticado,hubieren criticado,criticando,criticado
criticar,Subjuntivo,Pluscuamperfecto,hubiera criticado,hubieras criticado,hubiera criticado,hubiéramos criticado,hubierais criticado,hubieran criticado,criticando,criticado
criticar,Imperativo Afirmativo,Presente,,critica,criticad,,critique,critiquen,criticando,criticado
criticar,Imperativo Negativo,Presente,,no critiques,no critiquéis,,no critique,no critiquen,criticando,criticado
crucificar,Indicativo,Presente,crucifico,crucificas,crucifica,crucificamos,crucificáis,crucifican,crucificando,crucificado
crucificar,Indicativo,Futuro,crucificaré,crucificarás,crucificará,crucificaremos,crucificaréis,crucificarán,crucificando,crucificado
crucificar,Indicativo,Imperfecto,crucificaba,crucificabas,crucificaba,crucificábamos,crucificabais,crucificaban,crucificando,crucificado
crucificar,Indicativo,Pretérito,crucifiqué,crucificaste,crucificó,crucificamos,crucificasteis,crucificaron,crucificando,crucificado
crucificar,Indicativo,Condicional,crucificaría,crucificarías,crucificaría,crucificaríamos,crucificaríais,crucificarían,crucificando,crucificado
crucificar,Indicativo,Presente perfecto,he crucificado,has crucificado,ha crucificado,hemos crucificado,habéis crucificado,han crucificado,crucificando,crucificado
crucificar,Indicativo,Futuro perfecto,habré crucificado,habrás crucificado,habrá crucificado,habremos crucificado,habréis crucificado,habrán crucificado,crucificando,crucificado
cuidar,Indicativo,Pretérito,cuidé,cuidaste,cuidó,cuidamos,cuidasteis,cuidaron,cuidando,cuidado
crucificar,Indicativo,Pluscuamperfecto,había crucificado,habías crucificado,había crucificado,habíamos crucificado,habíais crucificado,habían crucificado,crucificando,crucificado
